[745, 749]
[747, 749]
[749, 757]
[749, 759]
[749, 760]
[749, 761]
[749, 763]
[749, 777]
[761, 777]
[762, 778]
[768, 773]
[770, 773]
[771, 773]
[781, 826]
[813, 814]
[813, 816]
[813, 817]
[813, 822]
[849, 854]
[849, 855]
[849, 857]
[849, 876]
[849, 878]
[850, 854]
[850, 855]
[850, 857]
[851, 854]
[851, 855]
[851, 857]
[854, 876]
[854, 878]
[855, 858]
[857, 858]
[861, 864]
[861, 865]
[861, 869]
[862, 864]
[862, 865]
[862, 869]
[864, 869]
[865, 869]
[867, 869]
[875, 877]
[875, 880]
[882, 907]
[883, 903]
[896, 901]
[896, 902]
[896, 904]
[897, 901]
[897, 902]
[897, 904]
[899, 901]
[899, 902]
[899, 904]
[910, 913]
[916, 986]
[917, 984]
[918, 942]
[918, 943]
[918, 945]
[918, 946]
[918, 949]
[918, 950]
[918, 951]
[918, 953]
[918, 954]
[918, 960]
[918, 962]
[918, 964]
[918, 965]
[918, 967]
[918, 969]
[918, 971]
[919, 928]
[919, 930]
[920, 993]
[920, 995]
[920, 997]
[920, 1007]
[920, 1009]
[920, 1011]
[921, 1013]
[921, 1015]
[921, 1017]
[921, 1020]
[922, 975]
[922, 977]
[922, 979]
[922, 980]
[922, 1010]
[922, 1014]
[922, 1019]
[923, 932]
[923, 933]
[923, 935]
[928, 930]
[931, 1008]
[933, 1008]
[935, 1008]
[936, 1008]
[937, 1000]
[937, 1002]
[937, 1004]
[940, 955]
[940, 956]
[940, 957]
[940, 960]
[940, 961]
[940, 962]
[940, 966]
[942, 953]
[942, 967]
[942, 969]
[942, 971]
[943, 953]
[943, 967]
[943, 969]
[943, 971]
[945, 953]
[945, 967]
[945, 969]
[945, 971]
[946, 953]
[946, 964]
[946, 967]
[946, 969]
[946, 971]
[947, 1012]
[950, 960]
[950, 962]
[954, 960]
[954, 962]
[957, 960]
[957, 961]
[957, 962]
[960, 967]
[960, 969]
[960, 971]
[960, 988]
[960, 989]
[960, 990]
[960, 991]
[960, 992]
[962, 967]
[962, 969]
[962, 971]
[962, 988]
[962, 989]
[962, 990]
[962, 991]
[962, 992]
[964, 967]
[964, 969]
[964, 971]
[965, 967]
[965, 969]
[965, 971]
[975, 1011]
[977, 1010]
[977, 1014]
[977, 1019]
[978, 1008]
[978, 1009]
[978, 1020]
[979, 1011]
[980, 1010]
